ID_VIV,ID_PERSONA,ENT,NOM_ENT,MUN,NOM_MUN,LOC50K,NOM_LOC,COBERTURA,ESTRATO,UPM,FACTOR,NUMPER,SEXO,EDAD,PARENT,PARENT_OTRO_C,IDENT_MADRE,IDENT_PADRE,SERSALUD,AFRODES,ACTA_NAC,DHSERSAL1,DHSERSAL2,PERTE_INDIGENA,ENT_PAIS_NAC,NACIONALIDAD,HLENGUA,QDIALECT_C,QDIALECT_INALI,HESPANOL,ELENGUA,ASISTEN,MUN_ASI,NOM_MUN_ASI,ENT_PAIS_ASI,TIE_TRASLADO_ESCU,MED_TRASLADO_ESC1,MED_TRASLADO_ESC2,MED_TRASLADO_ESC3,ESCOLARI,NIVACAD,ALFABET,ESCOACUM,MUN_RES10,NOM_MUN_RES10,ENT_PAIS_RES10,SITUA_CONYUGAL,IDENT_PAREJA,CONACT,OCUPACION_C,SITUACION_TRAB,AGUINALDO,VACACIONES,SERVICIO_MEDICO,UTILIDADES,INCAP_SUELDO,SAR_AFORE,CREDITO_VIVIENDA,INGTRMEN,ACTIVIDADES_C,MUN_TRAB,NOM_MUN_TRAB,ENT_PAIS_TRAB,TIE_TRASLADO_TRAB,MED_TRASLADO_TRAB1,MED_TRASLADO_TRAB2,MED_TRASLADO_TRAB3,ACTI_SIN_PAGO1,ACTI_SIN_PAGO2,ACTI_SIN_PAGO3,ACTI_SIN_PAGO4,ACTI_SIN_PAGO5,ACTI_SIN_PAGO6,ACTI_SIN_PAGO7,ACTI_SIN_PAGO8,HIJOS_NAC_VIVOS,HIJOS_FALLECIDOS,HIJOS_SOBREVIV,FECHA_NAC_M,FECHA_NAC_A,SOBREVIVENCIA,EDAD_MORIR_D,EDAD_MORIR_M,EDAD_MORIR_A,TAMLOC
130270000017,13027000001701,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84743,3,1,1,60,1,101,97,97,5,3,1,1,,1,13,5,1,712,702,5,,7,,,,,,,,0,0,7,0,27,Huehuetla,13,5,2,35,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,2
130270000017,13027000001702,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84743,3,2,3,53,2,201,97,97,5,3,1,1,,1,13,5,1,712,702,5,,7,,,,,,,,2,2,5,2,27,Huehuetla,13,5,1,33,,,,,,,,,,,,,,,,,,,0,0,0,0,0,27,14,2,3,0,3,9,1987,1,,,,2
130270000017,13027000001703,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84743,3,3,3,30,3,301,2,1,5,3,1,1,,1,13,5,3,,,,3,7,,,,,,,,6,2,5,6,27,Huehuetla,13,6,,31,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,7,2,0,,,,,,,,,2
130270000017,13027000001704,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84743,3,4,3,27,3,301,2,1,5,3,1,1,,1,13,5,3,,,,3,7,,,,,,,,3,3,5,9,27,Huehuetla,13,6,,33,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,2
130270000041,13027000004101,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84740,2,1,1,32,1,101,96,96,5,3,1,1,,3,13,5,3,,,,1,7,,,,,,,,3,8,5,15,27,Huehuetla,13,1,2,10,411,5,,,,,,,,643,4611,27,Huehuetla,13,1,6,,,0,0,0,0,0,0,7,2,,,,,,,,,,2
130270000041,13027000004102,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84740,2,2,3,23,2,201,96,96,5,3,1,1,,1,13,5,1,712,702,5,,5,60,Tenango de Doria,13,4,1,,,2,11,5,14,27,Huehuetla,13,1,1,33,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,21,6,0,,,,,,,,,2
130270000043,13027000004301,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84737,2,1,3,76,1,101,97,97,5,3,1,1,,3,30,5,1,1041,211,5,,7,,,,,,,,3,3,5,9,27,Huehuetla,13,4,,10,411,5,,,,,,,,2143,4631,27,Huehuetla,13,7,,,,0,0,6,6,0,1,4,12,8,2,6,9,1972,1,,,,2
130270000043,13027000004302,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84737,2,2,3,48,3,301,1,97,2,3,1,3,,3,13,5,3,,,,3,7,,,,,,,,4,10,5,16,27,Huehuetla,13,5,96,10,122,1,1,3,5,8,1,3,5,8000,6111,27,Huehuetla,13,1,6,,,0,0,0,0,0,3,1,0,3,1,2,8,1996,3,1,,,2
130270000044,13027000004401,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84738,2,1,1,28,1,101,97,97,5,3,1,1,,1,13,5,1,712,702,5,,7,,,,,,,,3,4,5,12,27,Huehuetla,13,5,2,10,735,5,,,,,,,,2571,8112,27,Huehuetla,13,7,,,,0,0,0,0,0,0,0,0,,,,,,,,,,2
130270000044,13027000004402,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84738,2,2,3,22,2,201,96,96,5,3,1,1,,3,13,5,3,,,,3,7,,,,,,,,3,3,5,9,27,Huehuetla,13,5,1,33,,,,,,,,,,,,,,,,,,,0,0,32,0,0,18,9,3,2,0,2,7,2013,1,,,,2
130270000044,13027000004403,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84738,2,3,1,5,3,301,2,1,5,3,1,1,,3,13,5,3,,,,3,5,27,Huehuetla,13,1,6,,,2,1,7,0,27,Huehuetla,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
